;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100
economieverte;0.036980196833610535;0.20939324796199799;-0.061678215861320496;-0.1758047342300415;-0.12087366729974747;-0.07269742339849472;0.08691485971212387;-0.07622355222702026;-0.21883808076381683;0.12240966409444809;-0.0955367311835289;-0.2551526725292206;0.058064479380846024;0.04100218042731285;-0.2619933784008026;0.18957455456256866;-0.004164909478276968;-0.12805326282978058;-0.013232714496552944;-0.128609299659729;-0.0525657944381237;-0.19522614777088165;0.26368439197540283;-0.2076469212770462;0.02017173543572426;0.20992201566696167;-0.10132071375846863;0.01741795241832733;-0.012798723764717579;0.19797153770923615;-0.061417531222105026;0.03657963499426842;-0.042578086256980896;-0.20012424886226654;-0.06682080775499344;0.15688610076904297;0.011518656276166439;-0.024130085483193398;-0.05879521742463112;-0.12260761111974716;-0.011991855688393116;-0.0465705581009388;-0.006358513608574867;-0.19931209087371826;-0.01934274286031723;-0.3683288097381592;0.05320606753230095;-0.0030665539670735598;-0.06792507320642471;-0.061961036175489426;0.06890305876731873;0.0341978557407856;0.031894031912088394;0.040343333035707474;-0.18461628258228302;0.07721669226884842;-0.06244005635380745;-0.19977255165576935;0.08951488882303238;-0.01669241301715374;-0.24718570709228516;-0.00021613016724586487;0.03310629352927208;-0.14836527407169342;-0.09396946430206299;0.12548479437828064;0.16650156676769257;0.27016034722328186;-0.07580646127462387;-0.03598257526755333;0.11052727699279785;0.13660691678524017;-0.23303262889385223;-0.17640097439289093;0.33332645893096924;-0.05733025074005127;0.017178406938910484;0.06071069464087486;-0.04913562536239624;-0.0090867318212986;0.012577079236507416;0.16324269771575928;-0.04426722228527069;-0.2878645360469818;-0.09512579441070557;0.06793560832738876;-0.05751925706863403;0.26710066199302673;0.010895212180912495;0.09676101803779602;0.0987829640507698;-0.10456515103578568;0.2112450748682022;-0.037604641169309616;-0.11113324016332626;-0.24509994685649872;0.11628866195678711;0.0387868694961071;-0.14618904888629913;-0.0006957683362998068
gaspillage;0.04482019692659378;-0.08384405821561813;-0.2175755798816681;-0.4132276475429535;-0.3446279466152191;0.24282971024513245;0.3458247780799866;0.5690404176712036;-0.16091667115688324;-0.2793242037296295;0.7326645851135254;-0.18377214670181274;0.4362565875053406;-0.4268190264701843;-0.07396361976861954;0.6553807854652405;-0.2824256420135498;-0.2517465054988861;0.23790040612220764;-0.4365394711494446;-0.1939454823732376;0.010233709588646889;0.14268887042999268;-0.13496069610118866;0.2918022572994232;0.26060205698013306;-0.48694881796836853;0.2682611048221588;0.07607074826955795;0.02263917587697506;-0.3484854996204376;0.4153568148612976;0.12201088666915894;-0.4599592089653015;-0.1763894408941269;0.39441362023353577;-0.011855955235660076;0.1682475507259369;-0.2734200954437256;-0.08697590231895447;0.20148830115795135;0.6209946870803833;-0.15581436455249786;-0.4513230323791504;0.049023572355508804;-0.7119688987731934;0.24415254592895508;0.0731370747089386;-0.2813342809677124;-0.1950947344303131;0.05399342253804207;-0.34940794110298157;-0.18637093901634216;0.1028146967291832;-0.3502907156944275;0.1558665931224823;-0.10334702581167221;-0.4242195188999176;-0.008241822011768818;-0.0058485837653279305;-0.7357655763626099;0.10524461418390274;-0.24577036499977112;-0.20048308372497559;-0.31245318055152893;0.5679548978805542;0.348183274269104;0.7185099720954895;-0.41258159279823303;-0.4634508192539215;0.11982152611017227;0.7233296036720276;-0.7110902667045593;0.10351886600255966;0.377065509557724;0.21514172852039337;0.08129279315471649;-0.26350829005241394;0.13310638070106506;-0.2633839249610901;0.5725302696228027;0.4268978536128998;-0.18008342385292053;-0.48086994886398315;-0.10773575305938721;0.31476902961730957;-0.20544545352458954;0.5435744524002075;-0.171258345246315;-0.31358519196510315;-0.24724753201007843;-0.7467914819717407;0.6523994207382202;0.38234996795654297;0.034102849662303925;-0.6058390140533447;-0.15707837045192719;0.40133365988731384;0.032216209918260574;-0.19224536418914795
solucop;0.02055632509291172;0.20845669507980347;-0.026442475616931915;-0.27700674533843994;-0.19976195693016052;0.035260237753391266;0.21619153022766113;-0.0008097093086689711;-0.33663108944892883;0.07422716170549393;0.05646692216396332;-0.14977575838565826;0.10828697681427002;-0.06452928483486176;-0.1622723489999771;0.1797085851430893;-0.04641665518283844;-0.21554763615131378;0.04866493493318558;-0.23796406388282776;0.023373054340481758;-0.169210746884346;0.2508505880832672;-0.1079099103808403;-0.024165106937289238;0.19994547963142395;0.006225969176739454;0.0011772322468459606;-0.053493935614824295;0.05852910131216049;-0.042513489723205566;0.11780335754156113;-0.02441755309700966;-0.13383622467517853;0.04723291099071503;0.055936068296432495;0.0968937873840332;-0.03713082894682884;-0.03920402377843857;0.008210496976971626;-0.0036503213923424482;-0.04807956889271736;0.04336801916360855;-0.2704140841960907;0.024164587259292603;-0.21225203573703766;-0.07139648497104645;-0.028885994106531143;0.017002014443278313;-0.0905207023024559;0.0707317590713501;-0.0782407820224762;0.22447176277637482;-0.029565539211034775;-0.11915645003318787;0.17098462581634521;-0.13982178270816803;-0.2232152670621872;0.0805312842130661;-0.008065997622907162;-0.2147800326347351;-0.13378986716270447;-0.015500884503126144;-0.04843607917428017;-0.15482376515865326;0.15039914846420288;0.21866023540496826;0.33802974224090576;0.050286732614040375;-0.10167442262172699;0.08414571732282639;0.09276914596557617;-0.15340043604373932;-0.2094825804233551;0.27995431423187256;-0.08570511639118195;-0.0010671752970665693;0.07420488446950912;0.019731752574443817;-0.05241725593805313;0.1599862426519394;0.15301308035850525;-0.14204706251621246;-0.3761782646179199;-0.06531897932291031;0.05804305896162987;-0.05232265591621399;0.29780113697052;-0.1273985505104065;0.1333874762058258;0.1662357896566391;-0.1792427897453308;0.11913140118122101;0.09733787924051285;-0.2085491120815277;-0.11287825554609299;0.14002813398838043;0.1637280434370041;-0.10144442319869995;-0.029117189347743988
recycleurs;0.12864889204502106;0.43759679794311523;-0.013812343589961529;-0.4624704420566559;-0.28881239891052246;-0.10519101470708847;0.012526494450867176;0.13781318068504333;-0.2500368356704712;0.14184381067752838;0.172713041305542;-0.08874697238206863;0.19827629625797272;0.02596978470683098;-0.15299931168556213;0.34404727816581726;0.06164470314979553;-0.2262861430644989;-0.034448496997356415;-0.23695778846740723;-0.058194588869810104;-0.13104188442230225;0.2664898633956909;-0.1753789633512497;-0.028562679886817932;0.3461295962333679;-0.16164007782936096;0.08519867807626724;-0.0490688793361187;0.09759682416915894;-0.061611853539943695;0.2360842525959015;-0.0022703197319060564;-0.17116375267505646;0.005589332431554794;0.04299652576446533;0.04634566977620125;-0.03946340084075928;0.062208663672208786;-0.15314143896102905;0.046794552356004715;-0.036674924194812775;0.04095669463276863;-0.3000714182853699;0.09476278722286224;-0.5121872425079346;0.17510083317756653;0.07351630926132202;0.07729452848434448;-0.23377832770347595;0.13129040598869324;0.13909165561199188;0.06609285622835159;0.14533603191375732;-0.11894971132278442;0.07012315094470978;0.15796847641468048;-0.26779085397720337;0.18682099878787994;0.0797971859574318;-0.3871787488460541;0.032205741852521896;-0.007152965757995844;-0.11663399636745453;-0.27842527627944946;-0.019797153770923615;0.19025306403636932;0.3650740385055542;0.03161318972706795;-0.13687029480934143;0.05847202613949776;0.0693429708480835;-0.27842411398887634;-0.36143916845321655;0.3679652810096741;-0.1469956487417221;-0.04182494431734085;0.2602173089981079;-0.11779794842004776;0.10456427186727524;0.10214082151651382;0.21892282366752625;0.14122545719146729;-0.46545419096946716;-0.07663609087467194;0.024340644478797913;-0.021114693954586983;0.2714775502681732;-0.03284589201211929;0.2501111626625061;0.15979082882404327;-0.1771775484085083;0.47964605689048767;-0.021527742967009544;-0.3666040003299713;-0.20663852989673615;0.13629283010959625;0.2820655405521393;-0.16866478323936462;-0.06765157729387283
sedd;-0.007742986083030701;0.044758670032024384;-0.03310631960630417;-0.14352978765964508;-0.4843318462371826;-0.1437588632106781;0.4360225200653076;0.19457748532295227;-0.48516789078712463;0.4921025037765503;0.02452699840068817;-0.15484651923179626;0.13009732961654663;-0.4446948170661926;-0.12621882557868958;-0.05846875533461571;0.05832010135054588;-0.2226247787475586;0.16692426800727844;-0.47385942935943604;-0.17740926146507263;-0.2488088458776474;0.9032853245735168;-0.0919555127620697;-0.22060346603393555;0.2880021929740906;-0.34622156620025635;0.16253536939620972;-0.07623367011547089;0.053592145442962646;-0.14239029586315155;0.5050895810127258;-0.07464847713708878;-0.4315055012702942;0.5807376503944397;0.1078917533159256;0.3383740186691284;-0.10899403691291809;-0.28591054677963257;-0.08460415154695511;-0.07696276158094406;0.0817616805434227;-0.15918323397636414;-0.49307960271835327;-0.10660237073898315;-0.6612207889556885;-0.03407784178853035;0.019521847367286682;-0.06929993629455566;-0.1458396166563034;0.6138916015625;-0.07384052872657776;0.2567209005355835;-0.2219521403312683;-0.13774323463439941;0.27065491676330566;-0.0020199986174702644;-0.3501776456832886;0.17072784900665283;0.1509568989276886;-0.6724810004234314;-0.2823944091796875;-0.07736781984567642;-0.46574997901916504;0.04107154905796051;-0.16334959864616394;0.08461332321166992;1.0863269567489624;-0.12076152861118317;-0.15522997081279755;-0.05545426532626152;0.24261313676834106;-0.5421018004417419;-0.41534659266471863;0.8866667747497559;-0.27482056617736816;0.007677274290472269;0.19252422451972961;-0.18775340914726257;-0.32992681860923767;0.45555204153060913;0.2212282419204712;-0.35358256101608276;-0.7820942401885986;-0.35024362802505493;0.46365922689437866;-0.40035736560821533;0.35588890314102173;-0.27196794748306274;0.0670868381857872;0.3455543518066406;-0.31498295068740845;0.7609666585922241;0.10547137260437012;-0.2182340919971466;0.03182312846183777;0.4569515883922577;0.09111009538173676;-0.04815526306629181;-0.39250409603118896
d'#énergie;0.2941943109035492;0.34040284156799316;-0.04378321021795273;-0.3854542374610901;-0.8199319839477539;-0.003612601663917303;-0.14690759778022766;-0.10060987621545792;-0.40852051973342896;0.17579808831214905;-0.06017963960766792;-0.4131672978401184;0.670539140701294;-0.27611228823661804;-0.4365207254886627;0.6070241928100586;-0.09343599528074265;-0.4002276360988617;-0.4618259370326996;-0.3923131227493286;-0.4189385771751404;-0.6905634999275208;0.14396433532238007;-0.33501487970352173;0.2629958689212799;0.28207820653915405;-0.23221001029014587;-0.023652050644159317;-0.05210857465863228;0.11148681491613388;-0.4710868299007416;0.2506820857524872;0.33438095450401306;-0.3703603148460388;0.13671892881393433;0.20307902991771698;-0.33351826667785645;-0.2718729078769684;-0.9538544416427612;0.15897542238235474;0.09800370037555695;-0.2650803029537201;-0.05009368062019348;-0.8645703196525574;0.1551428735256195;-0.6105304956436157;0.3852214217185974;0.3507464826107025;-0.5775771141052246;-0.18939931690692902;0.378115713596344;-0.2770659327507019;-0.053968239575624466;-0.0012132346164435148;-0.3385371267795563;0.011255109682679176;-0.13147789239883423;0.08120355755090714;0.09481869637966156;0.20264916121959686;-0.5743187665939331;-0.036130428314208984;0.2643594741821289;-0.1507401317358017;0.10260690748691559;0.3480762839317322;0.40705281496047974;0.705224871635437;0.048073239624500275;-0.2252630889415741;-0.04916168004274368;0.6278998255729675;-0.2037859857082367;-0.29468250274658203;0.6834573149681091;-0.12082046270370483;-0.2849527895450592;-0.054046738892793655;-0.027828503400087357;-0.044711578637361526;0.3646988570690155;0.4119633734226227;-0.38641369342803955;-0.576636016368866;0.05707092955708504;0.14233095943927765;0.043129269033670425;0.4831086993217468;-0.1952137053012848;0.14198315143585205;0.4351955056190491;-0.4272281229496002;0.6525835394859314;-0.12471095472574234;-0.2534691393375397;-0.13774053752422333;0.13455356657505035;0.2997954487800598;-0.22156159579753876;0.0030166057404130697
ouiauplastiquerecycle;-0.011170519515872002;0.1157427504658699;-0.0655919536948204;-0.015841687098145485;-0.0927923396229744;0.12869170308113098;0.05672259256243706;0.011644769459962845;-0.08248715102672577;0.08696935325860977;0.19156554341316223;-0.08197814971208572;0.10242597758769989;-0.09369074553251266;-0.06532899290323257;0.1827220320701599;0.0004070201830472797;-0.14260147511959076;-0.17120122909545898;-0.17200234532356262;-0.19181713461875916;-0.1513269990682602;0.12177771329879761;-0.14471547305583954;0.03540762513875961;0.17879478633403778;-0.08719141036272049;0.04067448154091835;0.05431416630744934;0.12451903522014618;-0.05712905898690224;0.019528917968273163;-0.06998662650585175;-0.1697443574666977;-0.22603480517864227;-0.0599735826253891;0.04076201841235161;-0.04471118003129959;-0.06367211788892746;-0.02182287909090519;0.03993930667638779;-0.07749654352664948;-0.09034156054258347;-0.15059348940849304;0.024115191772580147;-0.26732122898101807;-0.006815420463681221;-0.08111689984798431;-0.05230242386460304;-0.14873440563678741;0.08019249141216278;0.0005049348692409694;0.04560914635658264;-0.050950661301612854;-0.13850034773349762;0.0712934210896492;-0.16734963655471802;-0.11079283803701401;0.03213168680667877;0.009213913232088089;-0.19535569846630096;0.09217527508735657;0.0729854628443718;-0.05089065060019493;-0.13831974565982819;0.23319809138774872;0.04545754939317703;0.20885725319385529;-0.016859598457813263;-0.1643415093421936;0.017900872975587845;0.17564599215984344;-0.1394529491662979;-0.11034969985485077;0.27489978075027466;-0.07349025458097458;-0.07058613747358322;0.07336677610874176;-0.051922086626291275;-0.12762966752052307;0.0006299554370343685;0.20858268439769745;-0.062255214899778366;-0.25209248065948486;0.08357520401477814;0.07957176864147186;-0.03353818133473396;0.24959345161914825;-0.1574818342924118;0.0425700768828392;0.13214409351348877;-0.1006317138671875;0.15380817651748657;0.03163596987724304;-0.18922798335552216;-0.24995417892932892;0.16204439103603363;0.19886693358421326;-0.1990393102169037;0.00012835462985094637
l’#industrie;0.25387877225875854;0.14959999918937683;-0.1788024604320526;-0.41042810678482056;-0.4208192825317383;-0.3369293212890625;0.06665381044149399;0.044372837990522385;-0.32166939973831177;0.22711369395256042;-0.09759937226772308;-0.3598352074623108;0.2614198327064514;-0.08609817922115326;-0.38353902101516724;0.037939541041851044;0.03390955179929733;-0.18653810024261475;-0.22240634262561798;-0.5218841433525085;-0.11342990398406982;-0.3547363579273224;0.49976253509521484;-0.4902344346046448;0.08471467345952988;0.058604441583156586;-0.21033397316932678;-0.019463583827018738;-0.11345715820789337;-0.0765591710805893;-0.20091566443443298;0.0782533809542656;-0.14586152136325836;-0.26338568329811096;0.22718176245689392;0.18611767888069153;-0.09712505340576172;0.11962246894836426;-0.06705960631370544;-0.06764721125364304;-0.2298327386379242;-0.2250659018754959;0.14747074246406555;-0.47126516699790955;0.019507374614477158;-0.4965214729309082;0.4419393539428711;0.11793208122253418;-0.14784136414527893;-0.25355201959609985;0.0881052240729332;-0.05178236961364746;-0.17693284153938293;0.0785951241850853;-0.25198763608932495;-0.018446439877152443;-0.17941121757030487;-0.5654914379119873;0.26620981097221375;0.08007515966892242;-0.6539410352706909;0.014113637618720531;0.039570312947034836;-0.24360093474388123;-0.048111312091350555;0.2055160254240036;0.232897087931633;0.7856730818748474;-0.14231616258621216;-0.02091887965798378;0.25060051679611206;0.26032406091690063;-0.3751552104949951;-0.3880141079425812;0.6040465235710144;-0.06820177286863327;0.09267260879278183;0.19274036586284637;-0.001421657158061862;-0.026292702183127403;0.029452387243509293;0.3937271237373352;0.02630029059946537;-0.3133299946784973;-0.25376397371292114;-0.3090621531009674;-0.11258095502853394;0.4036707282066345;0.04272080585360527;0.2226010262966156;0.16735407710075378;-0.3273165822029114;0.6215599179267883;-0.14847418665885925;-0.20826010406017303;-0.2249315232038498;0.39391887187957764;0.46886199712753296;-0.06346847116947174;-0.1508590281009674
mobiliers;0.28409498929977417;0.5991477966308594;0.2059285193681717;-0.3906215727329254;-0.644014835357666;-0.04893048107624054;0.3347608149051666;-0.22643789649009705;-0.15862131118774414;0.44421711564064026;0.4392032027244568;-0.04966812953352928;0.3590904176235199;-0.1159743219614029;-0.12388722598552704;0.2442493885755539;0.30404502153396606;-0.5038019418716431;-0.3050718903541565;-0.7116877436637878;0.15610507130622864;-0.24990931153297424;0.5574790239334106;-0.31214234232902527;-0.022348936647176743;0.3873467445373535;-0.1229729875922203;-0.13230904936790466;-0.06877897679805756;-0.00368470698595047;-0.8016462326049805;0.45638003945350647;0.1071445494890213;-0.3307870328426361;0.03581106290221214;0.3725849688053131;0.38128572702407837;-0.14766140282154083;-0.14159536361694336;-0.33628636598587036;-0.29214709997177124;-0.1540832221508026;-0.10333840548992157;-0.7692392468452454;0.21010586619377136;-0.6244937181472778;0.25688713788986206;0.07110457122325897;-0.5501786470413208;-0.21562393009662628;0.48425644636154175;0.6792881488800049;0.17922323942184448;-0.04668508470058441;-0.557641863822937;-0.029820984229445457;0.12572506070137024;-0.6427708864212036;0.1585586667060852;-0.06687287241220474;-0.2532513439655304;-0.11231479793787003;-0.041744183748960495;-0.06385104358196259;-0.527997612953186;-0.11061914265155792;-0.27415162324905396;0.7626738548278809;0.1335405856370926;-0.3087652623653412;-0.076882503926754;0.13625383377075195;-0.2201000452041626;-0.36861974000930786;0.6905288696289062;-0.21643969416618347;-0.1245831698179245;0.10831211507320404;-0.046299807727336884;-0.2024202048778534;0.18832795321941376;0.4624260365962982;0.28410476446151733;-0.36033686995506287;0.19740590453147888;0.19616305828094482;-0.06537521630525589;0.17304424941539764;-0.45880675315856934;0.3597220778465271;0.21088719367980957;0.009157849475741386;0.6955618858337402;-0.2307174950838089;-0.21259717643260956;-0.41014567017555237;0.29900190234184265;0.3615235984325409;-0.28192490339279175;-0.18492314219474792
globalrecyclingday;0.1742096245288849;0.14794161915779114;-0.15343062579631805;-0.09907251596450806;-0.10043810307979584;-0.017491675913333893;0.21952344477176666;-0.16355103254318237;-0.3428444266319275;0.12255275994539261;-0.09222788363695145;-0.3099122941493988;0.16510148346424103;-0.22475910186767578;-0.31992053985595703;0.21741797029972076;-0.05084995925426483;-0.08717901259660721;-0.0771755650639534;-0.2139427214860916;-0.06834131479263306;-0.15335781872272491;0.3181235194206238;-0.3165663480758667;0.0650908574461937;0.2248731106519699;-0.20297224819660187;-0.0038254158571362495;-0.07185222953557968;0.18632128834724426;-0.060773562639951706;0.2276853322982788;0.0004325495974626392;-0.4123787581920624;-0.022132515907287598;0.17748332023620605;0.01825295016169548;-0.2775927484035492;-0.10976918786764145;-0.027247902005910873;-0.08266780525445938;-0.06376387923955917;-0.11312080919742584;-0.36590656638145447;0.03019900619983673;-0.481819748878479;0.06569107621908188;0.01155978161841631;-0.22675365209579468;0.0032508554868400097;0.33751946687698364;-0.046220630407333374;0.03648613765835762;-0.1366700828075409;-0.22529365122318268;0.10412467271089554;-0.008695295080542564;-0.20276851952075958;-0.13539554178714752;0.1547885239124298;-0.31916606426239014;-0.02054596319794655;-0.059564244002103806;-0.2458677738904953;-0.16607962548732758;0.2045236974954605;0.17200793325901031;0.4648441672325134;-0.017926426604390144;-0.11942271143198013;-0.028653567656874657;0.02325812540948391;-0.361603319644928;-0.20622846484184265;0.46451401710510254;-0.041176941245794296;0.13174182176589966;-0.022060677409172058;-0.0502181313931942;-0.013782836496829987;0.16767333447933197;0.3857170343399048;-0.15968374907970428;-0.22814802825450897;-0.1708284318447113;0.11647012084722519;-0.12169923633337021;0.3739771544933319;-0.09013216942548752;0.07655372470617294;0.12389836460351944;-0.32752588391304016;0.36354056000709534;0.027943313121795654;-0.310274213552475;-0.20554326474666595;0.05964091047644615;0.21180179715156555;-0.22022531926631927;0.11955326050519943
